feature,importance
addr_fuzz_partial,338
addr_jaccard,327
addr_token_set,314
addr_rel_len_diff,295
num_jaccard,259
blocker_count,224
name_token_sort,217
addr_len_diff,184
name_fuzz_partial,177
name_jaro_winkler_sim,176
block_exact_name,140
name_levenshtein_sim,136
is_s2_match,133
name_jaccard,119
addr_fuzz_ratio,117
addr_fuzz_wratio,114
addr_jaro_winkler_sim,110
name_token_set,110
addr_levenshtein_sim,99
cross_name_addr_prod,97
addr_token_sort,83
cross_name_addr_mean,75
name_fuzz_ratio,73
name_fuzz_wratio,64
num_shared_count,63
num_count_2,58
cross_name_addr_min,55
addr_tok_count_diff,43
name_rel_len_diff,40
exact_name_match,29
cross_name_addr_max,27
block_address_token,21
house_num_conflict,19
name_len_diff,16
block_suffix_stripped,16
num_exact_match,14
num_count_1,14
first_num_match,12
block_tfidf_word,11
block_house_num,8
block_country_name,8
exact_suffix_stripped_name,6
house_num_match,5
name_tok_count_diff,4
exact_alphanumeric_name,3
block_name_prefix,2
weak_name_strong_addr,1
block_tfidf_char,0
block_postal,0
exact_address_match,0
exact_alphanumeric_address,0
same_country,0
country_conflict,0
country_missing,0
postal_match,0
strong_name_and_strong_addr,0
strong_name_weak_addr,0
